pop_id,role,current_street,current_city,current_state,current_zip,permanent_street,permanent_city,permanent_state,permanent_zip,permanent_region
POP_S_7315039,Student,7917 J St,Eureka,CA,95500,6863 Cedar Ln,Redding,CA,96001,NorCal
POP_S_4194026,Student,1845 Bates Rd,Mckinleyville,CA,95519,8942 Birch Pl,La Mesa,CA,91942,SanDiego
POP_S_4478952,Student,No Answer,Eureka,CA,95501,9527 Maple Dr,Redding,CA,96001,NorCal
POP_S_2541649,Student,No Answer,Eureka,CA,95501,1318 Meadow Blvd,National City,CA,91950,SanDiego
POP_S_4662231,Student,8466 H St,Eureka,NV,0,3406 Meadow Pl,National City,CA,91950,SanDiego
POP_S_9756042,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,9913 Cedar Blvd,Glendale,CA,91203,LA
POP_S_4654016,Student,4132 Broadway St,Eureka,CA,95501,4568 Birch Blvd,Redding,CA,96001,NorCal
POP_S_2112110,Student,8337 G St,Arcata,CA,95521,7500 Cedar Pl,Pasadena,CA,91101,LA
POP_S_6276986,Student,6727 K St,Eureka,CA,95501,2426 Canyon Ln,Los Angeles,CA,90026,LA
POP_S_8719581,Student,7492 Heartwood Dr,Mckinleyville,CA,95519,8462 Canyon Ave,Glendale,CA,91203,LA
POP_S_2414010,Student,7836 Central Ave,Mckinleyville,CA,95519,5933 Oak Ln,Eureka,CA,95501,NorCal
POP_S_6286266,Student,1675 spears rd,Arcata,CA,95521,6199 Oak St,Sacramento,CA,95814,NorCal
POP_S_6228097,Student,9522 Hiller Rd,Mckinleyville,CA,95519,1063 Pine Ave,Santa Rosa,CA,95401,NorCal
POP_S_9797164,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,2687 Hill Blvd,Pasadena,CA,91101,LA
POP_S_7023735,Student,5038 broadway st,Eureka,CA,95501,3684 Vista Rd,Austin,TX,78701,OutOfState
POP_S_2880986,Student,442 G St,Arcata,CA,95521,2720 Pine Ln,Anaheim,CA,92801,LA
POP_S_4770292,Student,9115 Alliance Rd,Arcata,CA,95521,5282 Ridge Pl,Salt Lake City,UT,84111,OutOfState
POP_S_6830775,Student,6600 Alliance Rd,Arcata,NV,95521,9799 Meadow Pl,Berkeley,CA,94704,BayArea
POP_S_5769569,Student,4446 Q St,Arcata,CA,95521,9526 Spruce St,Long Beach,CA,90802,LA
POP_S_6877850,Student,7456 Baldwin St,Arcata,CA,95500,5309 Birch Dr,San Jose,CA,95112,BayArea
POP_S_6413414,Student,5161 LK Wood Blvd,Arcata,WA,95521,8852 Maple Ln,Oakland,CA,94612,BayArea
POP_S_8297154,Student,6767 Wabash Ave,Eureka,CA,95501,6098 Pine Way,Phoenix,AZ,85004,OutOfState
POP_S_8903984,Student,7959 murray rd,Mckinleyville,CA,95519,8231 Lake St,Berkeley,CA,94704,BayArea
POP_S_4891745,Student,9678 14th St,Arcata,CA,95521,692 Willow Ave,Boulder,CO,80302,OutOfState
POP_S_9707637,Student,No Answer,Eureka,CA,99999,9546 Vista Pl,Phoenix,AZ,85004,OutOfState
POP_S_3313392,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,6010 Willow Dr,San Diego,CA,92103,SanDiego
POP_S_5138664,Student,2260 LK Wood Blvd,Arcata,CA,95521,2385 Ridge Pl,Oakland,CA,94612,BayArea
POP_S_8398477,Student,3473 6th St,Eureka,CA,95501,106 Hill Ave,San Jose,CA,0,BayArea
POP_S_4439776,Student,2051 baldwin st,No Answer,CA,95521,5013 Maple Ln,Santa Monica,CA,90401,LA
POP_S_4270963,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,1837 Hill Dr,Austin,TX,78701,OutOfState
POP_S_3341992,Student,4540 Main St,Fortuna,CA,95540,3055 Vista Way,Fremont,CA,94536,BayArea
POP_S_7733838,Student,7341 Alliance Rd,Arcata,CA,95521,7440 Elm Ln,Anaheim,CA,92801,LA
